node,degree,betweenness,closeness,eigenvector,pagerank,community
tensorflower-gardener,22.0,0.06489795918367347,0.17515151515151517,0.6945511590891407,0.10860338584866995,0
allanrenucci,10.0,0.004081632653061226,0.11560000000000002,0.00790245884065713,0.04336728086887657,29
ermilovmaxim,10.0,0.004081632653061226,0.11560000000000002,0.00790245884065713,0.04336728086887657,29
majnemer,9.0,0.013061224489795919,0.12297872340425534,0.5351188444316911,0.045834235661989346,0
beckerhe,8.0,0.05102040816326531,0.16055555555555556,0.015183511861168971,0.044122585865584985,9
nvgrw,7.0,0.007346938775510205,0.1482051282051282,0.3571463644748972,0.03555814245937263,0
akuegel,6.0,0.013061224489795919,0.15210526315789474,0.013642896113910686,0.040778952597551286,9
mwhittaker,5.0,0.0,0.12041666666666669,0.16506580850296082,0.027664703691632004,16
WillFroom,5.0,0.002857142857142857,0.08,0.0,0.052871076253618254,22
EusebioDM,4.0,0.06775510204081633,0.180625,0.10311391028942658,0.02362270698846931,9
shawnwang18,4.0,0.00040816326530612246,0.11560000000000002,0.004406167494137129,0.02139238265837227,29
Tixxx,4.0,0.0,0.12041666666666669,0.1135371695511322,0.02294956468514503,16
loislo,4.0,0.013061224489795919,0.12041666666666669,0.004090073969087191,0.03030797433628119,9
pkanwar23,3.0,0.0,0.12041666666666669,0.16664372231871333,0.017353081868782445,0
Moerafaat,3.0,0.00040816326530612246,0.064,0.0,0.03321961459104147,22
mooskagh,2.0,0.0,0.1179591836734694,0.13256140622026044,0.013034876945989659,0
basioli-k,2.0,0.0,0.05333333333333333,0.0,0.023044103190612737,22
chsigg,2.0,0.0,0.05333333333333333,0.0,0.023044103190612737,22
pifon2a,2.0,0.0,0.045714285714285714,0.0,0.02261986438329613,22
apivovarov,1.0,0.0,0.0903125,0.0003903139097760232,0.011084496420760509,9
ezhulenev,1.0,0.0,0.1179591836734694,0.06628070311013022,0.008839419897239112,0
belitskiy,1.0,0.0,0.09174603174603174,0.051066149400609905,0.008973457765529054,0
ybaturina,1.0,0.0,0.10703703703703704,0.001301935408292098,0.01042101236393095,9
pizzud,1.0,0.0,0.02,0.0,0.030959752321836256,10
mrguenther,1.0,0.0,0.02,0.0,0.030959752321836256,6
alexander-shaposhnikov,1.0,0.0,0.02,0.0,0.030959752321836256,1
akhilgoe,1.0,0.0,0.02,0.0,0.030959752321836256,1
GleasonK,1.0,0.0,0.02,0.0,0.030959752321836256,6
ethanluoyc,1.0,0.0,0.02,0.0,0.030959752321836256,10
sharadmv,0.0,0.0,0.0,0.0,0.004643962848488566,13
vwbaker,0.0,0.0,0.0,0.0,0.004643962848488566,14
derdrdirk,0.0,0.0,0.0,0.0,0.004643962848488566,5
ZixuanJiang,0.0,0.0,0.0,0.0,0.004643962848488566,3
hhb,0.0,0.0,0.0,0.0,0.004643962848488566,8
Tai78641,0.0,0.0,0.0,0.0,0.004643962848488566,7
jakeharmon8,0.0,0.0,0.0,0.0,0.004643962848488566,15
Becker-ZH,0.0,0.0,0.0,0.0,0.004643962848488566,11
jpienaar,0.0,0.0,0.0,0.0,0.004643962848488566,25
ggawryal,0.0,0.0,0.0,0.0,0.004643962848488566,27
alekstheod,0.0,0.0,0.0,0.0,0.004643962848488566,23
thomasjoerg,0.0,0.0,0.0,0.0,0.004643962848488566,24
yashk2810,0.0,0.0,0.0,0.0,0.004643962848488566,26
hugomano,0.0,0.0,0.0,0.0,0.004643962848488566,21
bixia1,0.0,0.0,0.0,0.0,0.004643962848488566,28
deqiangc,0.0,0.0,0.0,0.0,0.004643962848488566,18
mtsokol,0.0,0.0,0.0,0.0,0.004643962848488566,12
mkuperst,0.0,0.0,0.0,0.0,0.004643962848488566,4
cantonios,0.0,0.0,0.0,0.0,0.004643962848488566,2
protobird-git,0.0,0.0,0.0,0.0,0.004643962848488566,17
zvikinoza,0.0,0.0,0.0,0.0,0.004643962848488566,20
mraunak,0.0,0.0,0.0,0.0,0.004643962848488566,19
