u,v,jaccard,adamic_adar
basioli-k,ybaturina,0.0,0.0
basioli-k,loislo,0.0,0.0
basioli-k,ZixuanJiang,0.0,0.0
basioli-k,pkanwar23,0.0,0.0
basioli-k,derdrdirk,0.0,0.0
basioli-k,GleasonK,0.0,0.0
basioli-k,Tai78641,0.0,0.0
basioli-k,hhb,0.0,0.0
basioli-k,akuegel,0.0,0.0
basioli-k,ethanluoyc,0.0,0.0
basioli-k,Becker-ZH,0.0,0.0
basioli-k,pifon2a,0.5,0.7213475204444817
basioli-k,sharadmv,0.0,0.0
basioli-k,vwbaker,0.0,0.0
basioli-k,jakeharmon8,0.0,0.0
basioli-k,mwhittaker,0.0,0.0
basioli-k,chsigg,1.0,1.631586747071319
basioli-k,belitskiy,0.0,0.0
basioli-k,EusebioDM,0.0,0.0
basioli-k,hugomano,0.0,0.0
basioli-k,alekstheod,0.0,0.0
basioli-k,thomasjoerg,0.0,0.0
basioli-k,jpienaar,0.0,0.0
basioli-k,yashk2810,0.0,0.0
basioli-k,ggawryal,0.0,0.0
basioli-k,bixia1,0.0,0.0
basioli-k,shawnwang18,0.0,0.0
basioli-k,Tixxx,0.0,0.0
basioli-k,pizzud,0.0,0.0
basioli-k,akhilgoe,0.0,0.0
basioli-k,majnemer,0.0,0.0
basioli-k,tensorflower-gardener,0.0,0.0
basioli-k,alexander-shaposhnikov,0.0,0.0
basioli-k,cantonios,0.0,0.0
basioli-k,mrguenther,0.0,0.0
basioli-k,mkuperst,0.0,0.0
basioli-k,mtsokol,0.0,0.0
basioli-k,protobird-git,0.0,0.0
basioli-k,beckerhe,0.0,0.0
basioli-k,deqiangc,0.0,0.0
basioli-k,mooskagh,0.0,0.0
basioli-k,ermilovmaxim,0.0,0.0
basioli-k,mraunak,0.0,0.0
basioli-k,zvikinoza,0.0,0.0
basioli-k,nvgrw,0.0,0.0
basioli-k,allanrenucci,0.0,0.0
basioli-k,ezhulenev,0.0,0.0
basioli-k,apivovarov,0.0,0.0
ybaturina,loislo,0.3333333333333333,0.7213475204444817
ybaturina,ZixuanJiang,0.0,0.0
ybaturina,pkanwar23,0.0,0.0
ybaturina,derdrdirk,0.0,0.0
ybaturina,GleasonK,0.0,0.0
ybaturina,Tai78641,0.0,0.0
ybaturina,hhb,0.0,0.0
ybaturina,ethanluoyc,0.0,0.0
ybaturina,Becker-ZH,0.0,0.0
ybaturina,pifon2a,0.0,0.0
ybaturina,sharadmv,0.0,0.0
ybaturina,vwbaker,0.0,0.0
ybaturina,jakeharmon8,0.0,0.0
ybaturina,mwhittaker,0.0,0.0
ybaturina,chsigg,0.0,0.0
ybaturina,belitskiy,0.0,0.0
ybaturina,WillFroom,0.0,0.0
ybaturina,EusebioDM,0.25,0.7213475204444817
ybaturina,hugomano,0.0,0.0
ybaturina,Moerafaat,0.0,0.0
ybaturina,alekstheod,0.0,0.0
ybaturina,thomasjoerg,0.0,0.0
ybaturina,jpienaar,0.0,0.0
ybaturina,yashk2810,0.0,0.0
ybaturina,ggawryal,0.0,0.0
ybaturina,bixia1,0.0,0.0
ybaturina,shawnwang18,0.0,0.0
ybaturina,Tixxx,0.0,0.0
ybaturina,pizzud,0.0,0.0
ybaturina,akhilgoe,0.0,0.0
ybaturina,majnemer,0.0,0.0
ybaturina,tensorflower-gardener,0.0,0.0
ybaturina,alexander-shaposhnikov,0.0,0.0
ybaturina,cantonios,0.0,0.0
ybaturina,mrguenther,0.0,0.0
ybaturina,mkuperst,0.0,0.0
ybaturina,mtsokol,0.0,0.0
ybaturina,protobird-git,0.0,0.0
ybaturina,beckerhe,0.16666666666666666,0.7213475204444817
ybaturina,deqiangc,0.0,0.0
ybaturina,mooskagh,0.0,0.0
ybaturina,ermilovmaxim,0.0,0.0
ybaturina,mraunak,0.0,0.0
ybaturina,zvikinoza,0.0,0.0
ybaturina,nvgrw,0.0,0.0
ybaturina,allanrenucci,0.0,0.0
ybaturina,ezhulenev,0.0,0.0
ybaturina,apivovarov,0.0,0.0
loislo,ZixuanJiang,0.0,0.0
loislo,pkanwar23,0.0,0.0
loislo,derdrdirk,0.0,0.0
loislo,GleasonK,0.0,0.0
loislo,Tai78641,0.0,0.0
loislo,hhb,0.0,0.0
loislo,ethanluoyc,0.0,0.0
loislo,Becker-ZH,0.0,0.0
loislo,pifon2a,0.0,0.0
loislo,sharadmv,0.0,0.0
loislo,vwbaker,0.0,0.0
loislo,jakeharmon8,0.0,0.0
loislo,mwhittaker,0.0,0.0
loislo,chsigg,0.0,0.0
loislo,belitskiy,0.0,0.0
loislo,WillFroom,0.0,0.0
loislo,EusebioDM,0.4,1.279458146995729
loislo,hugomano,0.0,0.0
loislo,Moerafaat,0.0,0.0
loislo,alekstheod,0.0,0.0
loislo,thomasjoerg,0.0,0.0
loislo,jpienaar,0.0,0.0
loislo,yashk2810,0.0,0.0
loislo,ggawryal,0.0,0.0
loislo,bixia1,0.0,0.0
loislo,shawnwang18,0.2,0.5581106265512472
loislo,Tixxx,0.0,0.0
loislo,pizzud,0.0,0.0
loislo,akhilgoe,0.0,0.0
loislo,majnemer,0.0,0.0
loislo,tensorflower-gardener,0.0,0.0
loislo,alexander-shaposhnikov,0.0,0.0
loislo,cantonios,0.0,0.0
loislo,mrguenther,0.0,0.0
loislo,mkuperst,0.0,0.0
loislo,mtsokol,0.0,0.0
loislo,protobird-git,0.0,0.0
loislo,deqiangc,0.0,0.0
loislo,mooskagh,0.0,0.0
loislo,ermilovmaxim,0.2,0.5581106265512472
loislo,mraunak,0.0,0.0
loislo,zvikinoza,0.0,0.0
loislo,nvgrw,0.0,0.0
loislo,allanrenucci,0.2,0.5581106265512472
loislo,ezhulenev,0.0,0.0
ZixuanJiang,pkanwar23,0.0,0.0
ZixuanJiang,derdrdirk,0.0,0.0
ZixuanJiang,GleasonK,0.0,0.0
ZixuanJiang,Tai78641,0.0,0.0
ZixuanJiang,hhb,0.0,0.0
ZixuanJiang,akuegel,0.0,0.0
ZixuanJiang,ethanluoyc,0.0,0.0
ZixuanJiang,Becker-ZH,0.0,0.0
ZixuanJiang,pifon2a,0.0,0.0
ZixuanJiang,sharadmv,0.0,0.0
ZixuanJiang,vwbaker,0.0,0.0
ZixuanJiang,jakeharmon8,0.0,0.0
ZixuanJiang,mwhittaker,0.0,0.0
ZixuanJiang,chsigg,0.0,0.0
ZixuanJiang,belitskiy,0.0,0.0
ZixuanJiang,WillFroom,0.0,0.0
ZixuanJiang,EusebioDM,0.0,0.0
ZixuanJiang,hugomano,0.0,0.0
ZixuanJiang,Moerafaat,0.0,0.0
ZixuanJiang,alekstheod,0.0,0.0
ZixuanJiang,thomasjoerg,0.0,0.0
ZixuanJiang,jpienaar,0.0,0.0
ZixuanJiang,yashk2810,0.0,0.0
ZixuanJiang,ggawryal,0.0,0.0
ZixuanJiang,bixia1,0.0,0.0
ZixuanJiang,shawnwang18,0.0,0.0
ZixuanJiang,Tixxx,0.0,0.0
ZixuanJiang,pizzud,0.0,0.0
ZixuanJiang,akhilgoe,0.0,0.0
ZixuanJiang,majnemer,0.0,0.0
ZixuanJiang,tensorflower-gardener,0.0,0.0
ZixuanJiang,alexander-shaposhnikov,0.0,0.0
ZixuanJiang,cantonios,0.0,0.0
ZixuanJiang,mrguenther,0.0,0.0
ZixuanJiang,mkuperst,0.0,0.0
ZixuanJiang,mtsokol,0.0,0.0
ZixuanJiang,protobird-git,0.0,0.0
ZixuanJiang,beckerhe,0.0,0.0
ZixuanJiang,deqiangc,0.0,0.0
ZixuanJiang,mooskagh,0.0,0.0
ZixuanJiang,ermilovmaxim,0.0,0.0
ZixuanJiang,mraunak,0.0,0.0
ZixuanJiang,zvikinoza,0.0,0.0
ZixuanJiang,nvgrw,0.0,0.0
ZixuanJiang,allanrenucci,0.0,0.0
ZixuanJiang,ezhulenev,0.0,0.0
ZixuanJiang,apivovarov,0.0,0.0
pkanwar23,derdrdirk,0.0,0.0
pkanwar23,GleasonK,0.0,0.0
pkanwar23,Tai78641,0.0,0.0
pkanwar23,hhb,0.0,0.0
pkanwar23,akuegel,0.0,0.0
pkanwar23,ethanluoyc,0.0,0.0
pkanwar23,Becker-ZH,0.0,0.0
pkanwar23,pifon2a,0.0,0.0
pkanwar23,sharadmv,0.0,0.0
pkanwar23,vwbaker,0.0,0.0
pkanwar23,jakeharmon8,0.0,0.0
pkanwar23,mwhittaker,0.3333333333333333,0.48089834696298783
pkanwar23,chsigg,0.0,0.0
pkanwar23,belitskiy,0.0,0.0
pkanwar23,WillFroom,0.0,0.0
pkanwar23,EusebioDM,0.5,1.391137573589825
pkanwar23,hugomano,0.0,0.0
pkanwar23,Moerafaat,0.0,0.0
pkanwar23,alekstheod,0.0,0.0
pkanwar23,thomasjoerg,0.0,0.0
pkanwar23,jpienaar,0.0,0.0
pkanwar23,yashk2810,0.0,0.0
pkanwar23,ggawryal,0.0,0.0
pkanwar23,bixia1,0.0,0.0
pkanwar23,shawnwang18,0.0,0.0
pkanwar23,Tixxx,0.3333333333333333,0.48089834696298783
pkanwar23,pizzud,0.0,0.0
pkanwar23,akhilgoe,0.0,0.0
pkanwar23,majnemer,0.3333333333333333,0.48089834696298783
pkanwar23,alexander-shaposhnikov,0.0,0.0
pkanwar23,cantonios,0.0,0.0
pkanwar23,mrguenther,0.0,0.0
pkanwar23,mkuperst,0.0,0.0
pkanwar23,mtsokol,0.0,0.0
pkanwar23,protobird-git,0.0,0.0
pkanwar23,beckerhe,0.0,0.0
pkanwar23,deqiangc,0.0,0.0
pkanwar23,mooskagh,0.5,0.48089834696298783
pkanwar23,ermilovmaxim,0.0,0.0
pkanwar23,mraunak,0.0,0.0
pkanwar23,zvikinoza,0.0,0.0
pkanwar23,allanrenucci,0.0,0.0
pkanwar23,ezhulenev,0.5,0.48089834696298783
pkanwar23,apivovarov,0.0,0.0
derdrdirk,GleasonK,0.0,0.0
derdrdirk,Tai78641,0.0,0.0
derdrdirk,hhb,0.0,0.0
derdrdirk,akuegel,0.0,0.0
derdrdirk,ethanluoyc,0.0,0.0
derdrdirk,Becker-ZH,0.0,0.0
derdrdirk,pifon2a,0.0,0.0
derdrdirk,sharadmv,0.0,0.0
derdrdirk,vwbaker,0.0,0.0
derdrdirk,jakeharmon8,0.0,0.0
derdrdirk,mwhittaker,0.0,0.0
derdrdirk,chsigg,0.0,0.0
derdrdirk,belitskiy,0.0,0.0
derdrdirk,WillFroom,0.0,0.0
derdrdirk,EusebioDM,0.0,0.0
derdrdirk,hugomano,0.0,0.0
derdrdirk,Moerafaat,0.0,0.0
derdrdirk,alekstheod,0.0,0.0
derdrdirk,thomasjoerg,0.0,0.0
derdrdirk,jpienaar,0.0,0.0
derdrdirk,yashk2810,0.0,0.0
derdrdirk,ggawryal,0.0,0.0
derdrdirk,bixia1,0.0,0.0
derdrdirk,shawnwang18,0.0,0.0
derdrdirk,Tixxx,0.0,0.0
derdrdirk,pizzud,0.0,0.0
derdrdirk,akhilgoe,0.0,0.0
derdrdirk,majnemer,0.0,0.0
derdrdirk,tensorflower-gardener,0.0,0.0
derdrdirk,alexander-shaposhnikov,0.0,0.0
derdrdirk,cantonios,0.0,0.0
derdrdirk,mrguenther,0.0,0.0
derdrdirk,mkuperst,0.0,0.0
derdrdirk,mtsokol,0.0,0.0
derdrdirk,protobird-git,0.0,0.0
derdrdirk,beckerhe,0.0,0.0
derdrdirk,deqiangc,0.0,0.0
derdrdirk,mooskagh,0.0,0.0
derdrdirk,ermilovmaxim,0.0,0.0
derdrdirk,mraunak,0.0,0.0
derdrdirk,zvikinoza,0.0,0.0
derdrdirk,nvgrw,0.0,0.0
derdrdirk,allanrenucci,0.0,0.0
derdrdirk,ezhulenev,0.0,0.0
derdrdirk,apivovarov,0.0,0.0
GleasonK,Tai78641,0.0,0.0
GleasonK,hhb,0.0,0.0
GleasonK,akuegel,0.0,0.0
GleasonK,ethanluoyc,0.0,0.0
GleasonK,Becker-ZH,0.0,0.0
GleasonK,pifon2a,0.0,0.0
GleasonK,sharadmv,0.0,0.0
