u,v,weight,weight_norm
chris7716,Helper2020,2,0.03508771929824561
chris7716,Nik-09,1,0.017543859649122806
chris7716,FaithAbiola,1,0.017543859649122806
chris7716,seanlip,1,0.017543859649122806
kevintab95,Helper2020,13,0.22807017543859648
kevintab95,Nik-09,3,0.05263157894736842
kevintab95,PedroSampaioDias,4,0.07017543859649122
kevintab95,HardikGoyal2003,1,0.017543859649122806
kevintab95,FaithAbiola,2,0.03508771929824561
Naman3120-Web,jayam04,1,0.017543859649122806
Naman3120-Web,NITISH084,1,0.017543859649122806
Naman3120-Web,FaithAbiola,1,0.017543859649122806
piyush140104,seanlip,1,0.017543859649122806
piyush140104,jayam04,1,0.017543859649122806
jayam04,Nik-09,2,0.03508771929824561
jayam04,FaithAbiola,3,0.05263157894736842
jayam04,NITISH084,30,0.5263157894736842
jayam04,HardikGoyal2003,33,0.5789473684210527
jayam04,Helper2020,19,0.3333333333333333
jayam04,mosin74,1,0.017543859649122806
jayam04,zakkib,1,0.017543859649122806
jayam04,mon4our,19,0.3333333333333333
jayam04,seanlip,3,0.05263157894736842
jayam04,KartikSuryavanshi,1,0.017543859649122806
FaithAbiola,Helper2020,52,0.9122807017543859
FaithAbiola,Nik-09,8,0.14035087719298245
FaithAbiola,NITISH084,2,0.03508771929824561
FaithAbiola,KartikSuryavanshi,1,0.017543859649122806
FaithAbiola,mon4our,1,0.017543859649122806
FaithAbiola,seanlip,5,0.08771929824561403
U8NWXD,KartikSuryavanshi,1,0.017543859649122806
HardikGoyal2003,kishansinghifs1,2,0.03508771929824561
HardikGoyal2003,NITISH084,4,0.07017543859649122
HardikGoyal2003,seanlip,3,0.05263157894736842
HardikGoyal2003,mosin74,2,0.03508771929824561
HardikGoyal2003,Nik-09,1,0.017543859649122806
HardikGoyal2003,KartikSuryavanshi,11,0.19298245614035087
HardikGoyal2003,Helper2020,9,0.15789473684210525
HardikGoyal2003,zakkib,1,0.017543859649122806
HardikGoyal2003,mon4our,16,0.2807017543859649
Nik-09,Helper2020,28,0.49122807017543857
Nik-09,seanlip,1,0.017543859649122806
Nik-09,mon4our,7,0.12280701754385964
Nik-09,KartikSuryavanshi,9,0.15789473684210525
Nik-09,mosin74,1,0.017543859649122806
Nik-09,NITISH084,3,0.05263157894736842
kishansinghifs1,NITISH084,2,0.03508771929824561
kishansinghifs1,seanlip,1,0.017543859649122806
mosin74,NITISH084,2,0.03508771929824561
mosin74,Helper2020,2,0.03508771929824561
mosin74,mon4our,1,0.017543859649122806
KartikSuryavanshi,Helper2020,7,0.12280701754385964
KartikSuryavanshi,mon4our,5,0.08771929824561403
KartikSuryavanshi,NITISH084,5,0.08771929824561403
KartikSuryavanshi,seanlip,2,0.03508771929824561
NITISH084,seanlip,4,0.07017543859649122
NITISH084,Helper2020,26,0.45614035087719296
NITISH084,mon4our,2,0.03508771929824561
mon4our,Helper2020,14,0.24561403508771928
seanlip,Helper2020,57,1.0
