node,degree,betweenness,closeness,eigenvector,pagerank,community
tensorflower-gardener,22.0,0.06489795918367347,0.17515151515151517,0.694551159089141,0.10860338584866996,25
ermilovmaxim,10.0,0.004081632653061225,0.11560000000000002,0.00790245884065697,0.04336728086887657,6
allanrenucci,10.0,0.004081632653061225,0.11560000000000002,0.007902458840656922,0.04336728086887657,6
majnemer,9.0,0.013061224489795919,0.12297872340425534,0.5351188444316909,0.04583423566198935,25
beckerhe,8.0,0.05102040816326531,0.16055555555555556,0.015183511861168883,0.044122585865584985,0
nvgrw,7.0,0.007346938775510205,0.1482051282051282,0.3571463644748968,0.03555814245937264,25
akuegel,6.0,0.013061224489795919,0.15210526315789474,0.013642896113910532,0.040778952597551286,0
WillFroom,5.0,0.002857142857142857,0.08,0.0,0.05287107625361827,3
mwhittaker,5.0,0.0,0.12041666666666669,0.16506580850296101,0.027664703691632007,19
EusebioDM,4.0,0.06775510204081633,0.180625,0.10311391028942646,0.02362270698846931,0
shawnwang18,4.0,0.00040816326530612246,0.11560000000000002,0.00440616749413705,0.021392382658372275,6
loislo,4.0,0.013061224489795919,0.12041666666666669,0.004090073969087005,0.03030797433628119,0
Tixxx,4.0,0.0,0.12041666666666669,0.11353716955113219,0.02294956468514503,19
Moerafaat,3.0,0.00040816326530612246,0.064,0.0,0.03321961459104147,3
pkanwar23,3.0,0.0,0.12041666666666669,0.16664372231871336,0.017353081868782448,25
mooskagh,2.0,0.0,0.1179591836734694,0.1325614062202604,0.01303487694598966,25
chsigg,2.0,0.0,0.05333333333333333,0.0,0.023044103190612737,3
basioli-k,2.0,0.0,0.05333333333333333,0.0,0.023044103190612737,3
pifon2a,2.0,0.0,0.045714285714285714,0.0,0.02261986438329613,3
belitskiy,1.0,0.0,0.09174603174603174,0.05106614940060992,0.008973457765529054,25
apivovarov,1.0,0.0,0.0903125,0.0003903139097760391,0.011084496420760509,0
GleasonK,1.0,0.0,0.02,0.0,0.030959752321836256,11
mrguenther,1.0,0.0,0.02,0.0,0.030959752321836256,11
akhilgoe,1.0,0.0,0.02,0.0,0.030959752321836256,26
alexander-shaposhnikov,1.0,0.0,0.02,0.0,0.030959752321836256,26
pizzud,1.0,0.0,0.02,0.0,0.030959752321836256,18
ezhulenev,1.0,0.0,0.1179591836734694,0.06628070311013019,0.008839419897239114,25
ybaturina,1.0,0.0,0.10703703703703704,0.0013019354082920277,0.010421012363930948,0
ethanluoyc,1.0,0.0,0.02,0.0,0.030959752321836256,18
yashk2810,0.0,0.0,0.0,0.0,0.004643962848488566,9
jakeharmon8,0.0,0.0,0.0,0.0,0.004643962848488566,12
mkuperst,0.0,0.0,0.0,0.0,0.004643962848488566,5
hhb,0.0,0.0,0.0,0.0,0.004643962848488566,4
Becker-ZH,0.0,0.0,0.0,0.0,0.004643962848488566,2
mtsokol,0.0,0.0,0.0,0.0,0.004643962848488566,10
deqiangc,0.0,0.0,0.0,0.0,0.004643962848488566,15
thomasjoerg,0.0,0.0,0.0,0.0,0.004643962848488566,1
alekstheod,0.0,0.0,0.0,0.0,0.004643962848488566,28
vwbaker,0.0,0.0,0.0,0.0,0.004643962848488566,27
cantonios,0.0,0.0,0.0,0.0,0.004643962848488566,22
jpienaar,0.0,0.0,0.0,0.0,0.004643962848488566,21
zvikinoza,0.0,0.0,0.0,0.0,0.004643962848488566,24
sharadmv,0.0,0.0,0.0,0.0,0.004643962848488566,23
protobird-git,0.0,0.0,0.0,0.0,0.004643962848488566,20
Tai78641,0.0,0.0,0.0,0.0,0.004643962848488566,29
bixia1,0.0,0.0,0.0,0.0,0.004643962848488566,7
hugomano,0.0,0.0,0.0,0.0,0.004643962848488566,8
derdrdirk,0.0,0.0,0.0,0.0,0.004643962848488566,13
ZixuanJiang,0.0,0.0,0.0,0.0,0.004643962848488566,14
ggawryal,0.0,0.0,0.0,0.0,0.004643962848488566,16
mraunak,0.0,0.0,0.0,0.0,0.004643962848488566,17
