u_idx,v_idx,u,v,score
6,10,jayam04,Nik-09,3.09083890914917
7,9,FaithAbiola,HardikGoyal2003,2.5859363079071045
15,16,mon4our,seanlip,2.4754457473754883
7,15,FaithAbiola,mon4our,1.9702486991882324
7,14,FaithAbiola,NITISH084,1.7548496723175049
2,8,PedroSampaioDias,U8NWXD,1.658130168914795
0,9,chris7716,HardikGoyal2003,1.4136332273483276
0,6,chris7716,jayam04,1.3036713600158691
13,14,KartikSuryavanshi,NITISH084,1.2686214447021484
10,12,Nik-09,mosin74,1.1496392488479614
0,15,chris7716,mon4our,1.1338820457458496
6,12,jayam04,mosin74,1.12454354763031
3,17,Naman3120-Web,Helper2020,1.1059296131134033
12,16,mosin74,seanlip,1.078338384628296
3,9,Naman3120-Web,HardikGoyal2003,1.0313397645950317
0,14,chris7716,NITISH084,0.9999426603317261
3,10,Naman3120-Web,Nik-09,0.9279386401176453
3,16,Naman3120-Web,seanlip,0.912790060043335
7,12,FaithAbiola,mosin74,0.8849720358848572
12,14,mosin74,NITISH084,0.8710107803344727
3,15,Naman3120-Web,mon4our,0.7879652976989746
0,13,chris7716,KartikSuryavanshi,0.6903698444366455
12,13,mosin74,KartikSuryavanshi,0.5920472741127014
0,12,chris7716,mosin74,0.5264068841934204
3,13,Naman3120-Web,KartikSuryavanshi,0.5103093385696411
2,11,PedroSampaioDias,kishansinghifs1,0.45747655630111694
2,18,PedroSampaioDias,zakkib,0.4524412751197815
1,8,kevintab95,U8NWXD,0.447028249502182
0,3,chris7716,Naman3120-Web,0.4136818051338196
2,5,PedroSampaioDias,piyush140104,0.4037739634513855
8,11,U8NWXD,kishansinghifs1,0.3662906885147095
3,12,Naman3120-Web,mosin74,0.3609197437763214
8,18,U8NWXD,zakkib,0.35989248752593994
5,8,piyush140104,U8NWXD,0.32396042346954346
11,18,kishansinghifs1,zakkib,0.18228033185005188
5,11,piyush140104,kishansinghifs1,0.16962063312530518
5,18,piyush140104,zakkib,0.1655452400445938
1,11,kevintab95,kishansinghifs1,0.14200305938720703
1,18,kevintab95,zakkib,0.13042272627353668
1,5,kevintab95,piyush140104,0.11935507506132126
1,13,kevintab95,KartikSuryavanshi,0.015369955450296402
3,5,Naman3120-Web,piyush140104,-0.08532701432704926
3,11,Naman3120-Web,kishansinghifs1,-0.09460671246051788
1,3,kevintab95,Naman3120-Web,-0.09997789561748505
3,18,Naman3120-Web,zakkib,-0.10070279240608215
1,16,kevintab95,seanlip,-0.11628056317567825
1,6,kevintab95,jayam04,-0.11914271116256714
5,13,piyush140104,KartikSuryavanshi,-0.1231888085603714
11,13,kishansinghifs1,KartikSuryavanshi,-0.12467538565397263
13,18,KartikSuryavanshi,zakkib,-0.14701911807060242
